label	utterance
Go_Hospital_See_Doctor	"If I think I have COVID-19, should I see my Dr?"
Go_Hospital_See_Doctor	can I go to the hospital?
Go_Hospital_See_Doctor	Who should I call if I have symptoms?
Go_Hospital_See_Doctor	Where should I go if I suspect I have coronavirus?
Go_Hospital_See_Doctor	I suspect I have the virus who can I call?
Go_Hospital_See_Doctor	should i go to the doctor now
Go_Hospital_See_Doctor	should i go to the ER if i have a cough
Go_Hospital_See_Doctor	Should I go to the hospital
Go_Hospital_See_Doctor	Should I make an appointment with my Dr?
Go_Hospital_See_Doctor	Should I see a doctor if I am showing the symptoms?
Go_Hospital_See_Doctor	when did I need to call the doctor?
Go_Hospital_See_Doctor	When do i call a doctor
Go_Hospital_See_Doctor	when should I call a doctor
Go_Hospital_See_Doctor	when should I go to a doctor?
Go_Hospital_See_Doctor	When should I go to the doctor?
Go_Hospital_See_Doctor	When should I go to the hospital?
yes	That's correct
yes	Yes
yes	Yes it is
COVID_Description	What'is Corona Virus
COVID_Description	covid what is it
COVID_Description	What is covid
COVID_Description	what is covid-19
COVID_Description	What does covid stand for?
COVID_Description	Is covid a disease?
COVID_Description	where did covid come from?
COVID_Description	I heard about covid what is it?
COVID_Description	Where can I learn more about covid?
COVID_Description	Where can I find more information about covid 19?
COVID_Description	2019-nCoV
COVID_Description	origin of coronavirus
COVID_Description	does the virus spread thru surfaces
COVID_Description	how does the virus spread
COVID_Description	Where did the coronavirus come from?
COVID_Description	what is the coronavirus?
COVID_Description	what is novel coronavirus?
COVID_Description	What is COVID-19?
COVID_Description	How dangerous is this?
COVID_Description	Has the cause of COVID-19 been identified?
COVID_Description	How is COVID-19 spread?
COVID_Description	What is corona virus
COVID_Description	What is Corona virus?
COVID_Description	what is the Corona Virus
COVID_Description	what is the corona virus?
COVID_Description	where did corona virus start from?
COVID_Description	what is covid-19\
COVID_Description	what is covid19
COVID_Description	What is COVID?
general_Help	I'm afraid
general_Help	I need help
general_Help	Can you help me?
general_Help	I do not know what to do
general_Help	what should I do
general_Help	I'm afraid and don't know what to do
Testing_information	Is the covid test able to detect infection even during the incubation period?
Testing_information	can i get tested
Testing_information	ok - I've got enough of those that I think I need to get tested.
Testing_information	my friend has it should i t get tested
Testing_information	is there test kit for coronavirus
Testing_information	Is there a test kit for the coronavirus?
Testing_information	is there a test kit for the coronavirus
Testing_information	is there a test kit for coronavirus
Testing_information	is there a test for the coronavirus
Testing_information	Is there a test for teh coronavirus
Testing_information	is there a test for coronavirus
Testing_information	is there a coronavirus test kit
Testing_information	Can I get tested at home?
Testing_information	Is it possible to test for covid 19 during the incubation period?
Testing_information	Is it possible to detect the disease during the incubation period?
Testing_information	I have symptoms. Should I get tested?
Testing_information	"I have a fever, should I get tested?"
Testing_information	do i need to get tested?
Testing_information	coronavirus test kit
Testing_information	Can I test myself?
Testing_information	can i get tested?
Testing_information	can I get tested quickly?
Testing_information	can i get tested for cover?
Testing_information	When is the coronavirus test able to detect the disease?
Testing_information	What is the test to detect covid 19?
Testing_information	Should we get tested if we only have symptoms
Testing_information	should i get tested if I do not have symptoms but think I've been exposed?
Testing_information	Should I get tested for COVID-19?
7.4travel_risk_countries	Which countries are more of a risk?
7.4travel_risk_countries	Which countries have been affected?
7.4travel_risk_countries	Which countries should I avoid?
7.4travel_risk_countries	What are the risky countries?
7.4travel_risk_countries	Show me the list of high-risk countries.
7.4travel_risk_countries	Which countries are affected by covid 19?
7.4travel_risk_countries	Which countries are high risk to travel to?
5.4.Quarantine_living_with_others	"I live in an apartment with my girlfriend, but I am under quarantine now.  What should I do?"
5.4.Quarantine_living_with_others	How should I quarantine if I live with other people?
5.4.Quarantine_living_with_others	How can I quarantine if I have family living with me?
5.4.Quarantine_living_with_others	How am I supposed to be quarantined when I live with other people?
5.4.Quarantine_living_with_others	What if I have a roommate and I'm put under quarantine?
5.4.Quarantine_living_with_others	My wife is in quarantine.  Do I need to be as well?
5.4.Quarantine_living_with_others	"If a member of my family is in quarantine, what should I do?"
11.1volunteering	I want to help with babysitting.
11.1volunteering	I want to help with shopping for the old.
11.1volunteering	I would like to get involved as a volunteer in the current situation but I do not know how to get involved.
11.1volunteering	I'm a doctor how can I help?
11.1volunteering	I want to help I'm a student.
11.1volunteering	I'm a medical student and I want to get involved. How can I help?
11.1volunteering	I want to help those at high risk with shopping. Where can I find information on how to help?
Travel_Restrictions	Do I need a doctor's note to travel?
Travel_Restrictions	Can I travel in the current emergency situation?
Travel_Restrictions	Can I travel out of the country?
Travel_Restrictions	Can I visit relatives in another state?
Travel_Restrictions	Can I travel for work?
Travel_Restrictions	Should I cancel my flight to Denver?
Travel_Restrictions	What if I urgently need to take a flight?
Travel_Restrictions	Are there any travel restrictions in place yet?
Travel_Restrictions	testing travelers?
Travel_Restrictions	Is it safe to fly to Seattle?
Travel_Restrictions	Should I change my travel plans?
Travel_Restrictions	Can I travel?
Travel_Restrictions	I just travelled. What do I do?
Travel_Restrictions	do i need to stay home
4.2.Treatment_info	How can I lower my temperature if I have the coronavirus?
4.2.Treatment_info	can medication reduce fever caused by a possible covid infection?
4.2.Treatment_info	Can medication be used to reduce fever?
4.2.Treatment_info	what medicines should I take if I have coronavirus
4.2.Treatment_info	what medicine work best for treatment ?
4.2.Treatment_info	What medicine should I take for COVID 19
4.2.Treatment_info	what medicine should I be taking for Covid 19
4.2.Treatment_info	What medicine should I avoid taking if I have coronavirus
4.2.Treatment_info	what kind of medicine should I take
4.2.Treatment_info	What is the treatment for this disease?
4.2.Treatment_info	Can I take ibuprofen if I have corona virus?
4.2.Treatment_info	What is the treatment for covid-19?
4.2.Treatment_info	Should I take Theraflu?
4.2.Treatment_info	Medication that helps with coronavirus
4.2.Treatment_info	Is there a medication to reduce temperature with covid-19?
4.2.Treatment_info	Is there a medication that can help me feel better?
4.2.Treatment_info	I heard about a medication for coronavirus treatment
4.2.Treatment_info	How to treat covid?
4.2.Treatment_info	best vitamin to take
4.2.Treatment_info	Can I lower my temperature using medication?
4.2.Treatment_info	what medicines work best
4.2.Treatment_info	How do we treat covid?
4.2.Treatment_info	How do I treat coronavirus?
12.3schools_employees	I am a teacher / educator / employee of a school what restrictions apply to me?
12.3schools_employees	I'm teaching at a school that's closed. What should I do?
12.3schools_employees	I'm working at a school that's closed now. What should I do?
12.3schools_employees	They closed my school and I have nowhere to work.
12.3schools_employees	What should I do if I am a teacher?
COVID_Illness_Length	How long will I feel terrible?
COVID_Illness_Length	how long does the virus last?
COVID_Illness_Length	how long does the virus last
COVID_Illness_Length	How long does the disease last?
COVID_Illness_Length	How long does the coronavirus last?
COVID_Illness_Length	how long does the corona virus last?
COVID_Illness_Length	how long does it take for the virus to run through my system?
COVID_Illness_Length	how long does it last?
COVID_Illness_Length	how long does it last
COVID_Illness_Length	How long does COVID-19 last?
COVID_Illness_Length	how long does coronavirus last
COVID_Illness_Length	How long do I need to quarantine before I no longer can transmit the virus?
COVID_Illness_Length	how long can I expect to be sick?
4.6.Treatment_shortnessOfBreath	what is shortness of breath
4.6.Treatment_shortnessOfBreath	describe shortness of breath
4.6.Treatment_shortnessOfBreath	how do I know if I'm suffering from shortness of breath
4.6.Treatment_shortnessOfBreath	What does breathlessness look like
7.5travel_embassies	I am abroad who should I contact?
7.5travel_embassies	who to contact when I'm in the high risk area
7.5travel_embassies	"I need to get home from abroad, who can help me?"
7.5travel_embassies	I am currently traveling out of the country. Who should I contact?
7.5travel_embassies	I am abroad who to contact?
5.1.Quarantine_what_to_do	If I have Covid how long do I have to self isoclate
5.1.Quarantine_what_to_do	How long do I have to stay in quarantine?
5.1.Quarantine_what_to_do	How long should I be in quarantine?
5.1.Quarantine_what_to_do	How long should I Quarrantine?
5.1.Quarantine_what_to_do	How long should you self-quarantine?
5.1.Quarantine_what_to_do	how long will we have to self quarantine?
5.1.Quarantine_what_to_do	"if i have syptoms, how long should i quartine for?"
5.1.Quarantine_what_to_do	"If infected, how long should individuals self-quarantine?"
5.1.Quarantine_what_to_do	Is anyone checking for compliance with those ordered to quarantine?
5.1.Quarantine_what_to_do	What can I do when I'm in quarantine?
5.1.Quarantine_what_to_do	What exactly is home quarantine?
5.1.Quarantine_what_to_do	What if I break quarantine?
5.1.Quarantine_what_to_do	What should I do if I have been quarantined?
5.1.Quarantine_what_to_do	What should I do in quarantine?
5.1.Quarantine_what_to_do	Who is responsible for quarantined people?
5.1.Quarantine_what_to_do	A colleague is breaking quarantine what should I do?
5.1.Quarantine_what_to_do	Are people in quarantine checked?
5.1.Quarantine_what_to_do	How does Quarantine work?
5.1.Quarantine_what_to_do	How long do I have to be stuck at home?
5.1.Quarantine_what_to_do	How long do I have to self isolate if I have tested positive?
5.1.Quarantine_what_to_do	How long does it take to quarantine?
Cleaning_Disinfecting	Do I have to use bleach to kill coronavirus?
Cleaning_Disinfecting	Whats the difference between cleaning and disinfecting?
Cleaning_Disinfecting	Do I need lysol wipes?
Cleaning_Disinfecting	How do I clean my home properly?
Cleaning_Disinfecting	Do I need to do both?
Cleaning_Disinfecting	Does alcohol kill the coronavirus?
Cleaning_Disinfecting	What cleaning methods kill the coronavirus?
Cleaning_Disinfecting	Are there disinfectants available that can inactivate (kill) COVID-19?
Cleaning_Disinfecting	Should I spray myself or my kids with disinfectant?
Cleaning_Disinfecting	is lysol enough to get rid of covid virus from countertops
Cleaning_Disinfecting	what cleaning regimen should I follow
Cleaning_Disinfecting	how do i get rid of germs at my home
Cleaning_Disinfecting	"All the stores are out of disinfecting wipes, what do I do?"
Cleaning_Disinfecting	mopping products
Cleaning_Disinfecting	disinfectant products
Cleaning_Disinfecting	cleaning products
Cleaning_Disinfecting	How often do I need to clean my home to prevent the spread of coronavirus?
4.10.Treatment_discovering_medicine	When will covid-19 medicines be ready?
4.10.Treatment_discovering_medicine	Is it possible to estimate how long it will take to administer the drug / vaccine to people?
4.10.Treatment_discovering_medicine	How long will it be until there is a vaccine?
4.10.Treatment_discovering_medicine	How long does it take to develop a vaccine?
4.10.Treatment_discovering_medicine	When can I expect drugs for the virus?
Shopping_Groceries	can we go to the store?
Shopping_Groceries	what grocery store in keller is open?
Shopping_Groceries	Is it safe to go to the grocery store?
Shopping_Groceries	Is it safe to go to Costco?
Shopping_Groceries	Is it okay to go grocery shopping?
Shopping_Groceries	is it ok for me to go to the grocery store
Shopping_Groceries	I need medicine. Can I go to the store?
Shopping_Groceries	Can I still go to the grocery store?
Shopping_Groceries	can I still go grocery shopping
Shopping_Groceries	can i go to the store.
Shopping_Groceries	Can I go to the grocery store?
Shopping_Groceries	can I go to the grocery store or will I catch corona
Shopping_Groceries	can i go to the grocery store
Shopping_Groceries	can I go to grocery stores
Shopping_Groceries	are grocery stores still open
Shopping_Groceries	Am I allowed to go to the grocery store?
6.1govt_emergency	How long will the state of emergency last?
6.1govt_emergency	Is the government legally allowed to close shops and restaurants?
6.1govt_emergency	Is there a nationwide curfew?
6.1govt_emergency	What does a state of emergency mean?
6.1govt_emergency	What are the crisis measures currently in place?
6.1govt_emergency	A national emergency was declared in the United States. What does this mean?
6.1govt_emergency	Can the government close public places?
6.1govt_emergency	How does the state of emergency affect me?
6.1govt_emergency	When will the national emergency end?
6.1govt_emergency	What measurements is the government taking?
6.1govt_emergency	What is a national emergency?
6.1govt_emergency	What has our government already done to reduce the risk of spreading the disease
6.1govt_emergency	How is the US government addressing the spread of covid-19?
6.1govt_emergency	How long has the national emergency been in place?
2.3.Prevention_howto_wash_hands	Effective cleaning and hand washing techqniques
2.3.Prevention_howto_wash_hands	How do I wash my hands properly?
2.3.Prevention_howto_wash_hands	How should I properly wash my hands?
2.3.Prevention_howto_wash_hands	How to wash your hands properly?
2.3.Prevention_howto_wash_hands	Washing your hands effectively
1.4aboutVirus_HighRiskGroups	Which age group is at an increased risk of getting covid 19?
1.4aboutVirus_HighRiskGroups	Is Covid Dangerous To pregnant women?
1.4aboutVirus_HighRiskGroups	who is the most vulnerable to covid
1.4aboutVirus_HighRiskGroups	Who is most at risk?
1.4aboutVirus_HighRiskGroups	who is most at risk
1.4aboutVirus_HighRiskGroups	who is in danger
1.4aboutVirus_HighRiskGroups	What is the risk of coronavirus for pregnant women?
1.4aboutVirus_HighRiskGroups	what groups are most at risk
1.4aboutVirus_HighRiskGroups	What population groups are most at risk?
1.4aboutVirus_HighRiskGroups	What is the risk of covid for pregnant women?
1.4aboutVirus_HighRiskGroups	I have cancer am I at risk of coronavirus?
1.5aboutVirus_USready	How is the United States prepared for the spread of covid 19?
1.5aboutVirus_USready	is the government ready for covid
1.5aboutVirus_USready	Is the US well prepared for covid 19
1.5aboutVirus_USready	What measures is the US taking against covid-19?
1.5aboutVirus_USready	do we have enough protective measures?
8.3globalcovid_WHO	What does the WHO do?
8.3globalcovid_WHO	What is recommended by WHO and other international organizations regarding coronavirus?
8.3globalcovid_WHO	What opinion does the World Health Organization (who) have on next steps?
8.3globalcovid_WHO	What position does the WHO have?
8.3globalcovid_WHO	What has the world health organization said about covid 19?
Paid_Sick_Leave	tell me about paid sick leave
Paid_Sick_Leave	paid sick leave
Paid_Sick_Leave	will Texas provide paid sick leave
Paid_Sick_Leave	will paid sick leave be available for Uber drivers?
Paid_Sick_Leave	am I eligible for paid sick leave
Paid_Sick_Leave	am I eligible for sick leave
Paid_Sick_Leave	can i get paid sick leave
Paid_Sick_Leave	Can i still get paid sick leave for 14 days if i get corona
Paid_Sick_Leave	do i get paid leave time
Paid_Sick_Leave	do I get paid sick leave
Paid_Sick_Leave	does my workplace offer paid sick leave?
Paid_Sick_Leave	duration of paid sick leave?
Paid_Sick_Leave	how long can i get [paid sick leave
Paid_Sick_Leave	how long can i get paid sick leave
Paid_Sick_Leave	How much do I get paid for sick leave
Paid_Sick_Leave	How much paid sick leave will I get if I am contracted with the virus?
Paid_Sick_Leave	If I get sick will I continue to get paid?
Paid_Sick_Leave	Will my employer give me paid leave if I have coronavirus?
Paid_Sick_Leave	Will I get paid leave?
Paid_Sick_Leave	Will I get paid if I have COVID-19?
Paid_Sick_Leave	Will government employees be paid during sick leave?
Paid_Sick_Leave	who is eligible to get paid sick leave
Paid_Sick_Leave	who is able to get paid sick leave
Paid_Sick_Leave	When am I entitled to take paid sick leave?
Paid_Sick_Leave	What if I don't have paid sick leave?
Paid_Sick_Leave	what if I don't have paid sick leave
Protecting_Against_Infection	what can i do to prevent COIVD?
Protecting_Against_Infection	What should I do to stay safe?
Protecting_Against_Infection	What is the risk of my child becoming sick with COVID-19?
Protecting_Against_Infection	Do I need to wear a face mask?
Protecting_Against_Infection	How do I protect myself?
Protecting_Against_Infection	What’s the best way to prevent coronavirus?
Protecting_Against_Infection	How often should I wash my hands?
Protecting_Against_Infection	How can I protect my family from the spread of coronavirus?
Protecting_Against_Infection	how to I prevent myself from getting sick?
Protecting_Against_Infection	how do I ensure my family is safe?
Protecting_Against_Infection	Is it even possible to avoid the virus?
Protecting_Against_Infection	How to Prevent the Spread of the Virus
Protecting_Against_Infection	prevent the spread of the virus
Protecting_Against_Infection	what should i do to contain the spread of the virus
Protecting_Against_Infection	How do you protect yourself?
Protecting_Against_Infection	How to prevent covid infection?
Protecting_Against_Infection	What is the best prevention?
Protecting_Against_Infection	Do I need to disinfect my cell phone when I get home
Protecting_Against_Infection	Can I protect myself by drinking alcohol
Protecting_Against_Infection	Does the sun kill coronavirus?
Protecting_Against_Infection	What will help me prevent covid infection?
Protecting_Against_Infection	What should I do to avoid getting sick?
Protecting_Against_Infection	How do I avoid Coronavirus
Protecting_Against_Infection	What is the most effective prevention?
Protecting_Against_Infection	What rules should I follow to prevent covid illness?
Protecting_Against_Infection	Should I avoid people?
Protecting_Against_Infection	how can i prevent coronavirus
Protecting_Against_Infection	how do I stay safe
Protecting_Against_Infection	what can I do to avoid getting sick?
Protecting_Against_Infection	What can I do to not get sick?
Protecting_Against_Infection	precautionary measures
Protecting_Against_Infection	what is the best way to prevent coronavirus
Protecting_Against_Infection	how do i prevent catching the desease
Protecting_Against_Infection	what can i do to prevent getting coronavirus?
Protecting_Against_Infection	how can I not get sick
Protecting_Against_Infection	How can I avoid getting sick?
Protecting_Against_Infection	what can i do to stay safe
Protecting_Against_Infection	What is effective prevention against covid?
Protecting_Against_Infection	Does eating garlic help?
Protecting_Against_Infection	What are some good tips for prevention?
Protecting_Against_Infection	How to avoid catching covid-19.
Protecting_Against_Infection	How do I avoid covid-19?
7.2travel_backtoUS	When can I return to the United States?
7.2travel_backtoUS	Can I return to the United States if I am abroad?
7.2travel_backtoUS	Can I return to the United States?
7.2travel_backtoUS	I am in Europe and I want to return to the United States. Is that possible?
7.2travel_backtoUS	I'm in a covid-free area can I come back to the United States?
7.2travel_backtoUS	Returning from abroad
13.4.About_Anezka_hate	This is crap
13.4.About_Anezka_hate	I'm hanging up
13.4.About_Anezka_hate	I hate you
13.4.About_Anezka_hate	I hate this
13.4.About_Anezka_hate	I hate these kinds of things
13.4.About_Anezka_hate	I hate
13.4.About_Anezka_hate	I don't like this
13.4.About_Anezka_hate	everything is horrible
13.4.About_Anezka_hate	go to hell
13.4.About_Anezka_hate	This is hateful
9.1masks_availability	Why aren't there enough masks and respirators?
9.1masks_availability	Why are there no masks and respirators in pharmacies?
9.1masks_availability	Why are no masks or respirators available anywhere?
9.1masks_availability	Where do people get protective masks or disinfectants?
9.1masks_availability	Where can I get masks?
9.1masks_availability	When will respirators and masks be finally sold?
9.1masks_availability	When will masks be available?
9.1masks_availability	When can I buy a mask at a pharmacy?
9.1masks_availability	When will masks be available at retail stores? They are not yet and we can get infected on public transport before they are.
9.1masks_availability	I'd like a respirator
9.1masks_availability	How is it possible that the state does not have enough masks and respirators?
9.1masks_availability	Why can't I get or find a mask or a respirator anywhere?
9.1masks_availability	Why aren't there respirators?
9.1masks_availability	why aren't any masks available?
9.1masks_availability	When can I buy a mask?
5.5.Quarantine_social_aid	Tell me about working from home?
5.5.Quarantine_social_aid	I'm in quarantine and can't work.  What should I do?
5.5.Quarantine_social_aid	Am I able to work from my home office?
5.5.Quarantine_social_aid	How can I do my job while I'm in quarantine?
5.5.Quarantine_social_aid	Can I work from home?
5.5.Quarantine_social_aid	Can I work from home during quarantine?
5.5.Quarantine_social_aid	Can I take a sick leave to quarantine?
Testing_Locations	I want to be tested for covid-19
Testing_Locations	None of those sound like they cover how to get tested. Can you tell me how/where I can get tested?
Testing_Locations	where can I get tested for the coronavirus in New York
Testing_Locations	"I live in Austin, where can I get tested for Covid-19"
Testing_Locations	"I live in Ontario, where can I get tested?"
Testing_Locations	i am in new york where should i get tested
Testing_Locations	i have symptoms. where can i get tested?
Testing_Locations	Where can I go to get tested for COVID?
Testing_Locations	Where can I get tested for coronavirus?
Testing_Locations	where can i get tested for coronavirus
Testing_Locations	"I need to get tested, where can I go?"
Testing_Locations	where can I get tested in new mexico
Testing_Locations	how do I get screened?
Testing_Locations	how can i get screened
Testing_Locations	where can i get screened?
Testing_Locations	I want a coronavirus test
Testing_Locations	how do I get a coronavirus test?
Testing_Locations	where should I go to get screened
Testing_Locations	how do you test
Testing_Locations	Where can I test
Testing_Locations	How can I get a test
Testing_Locations	how do i get a test?
Testing_Locations	where can I be tested
Testing_Locations	where do I get a test
Testing_Locations	where can i get a test
Testing_Locations	where can I get a test?
Testing_Locations	where can I get a test kit
Testing_Locations	where can I get a test done
Testing_Locations	where can I get a test done?
Testing_Locations	Where can I get a COVID-19 test?
Testing_Locations	where can I get a coronavirus test
Testing_Locations	Where do I go for COVID19 testing?
Testing_Locations	where cani get tested
Testing_Locations	how can I get tested
Testing_Locations	how do I get tested for Covid -19
Testing_Locations	where can I get tested in alabama
Testing_Locations	Where can I get tested for Corona?
Testing_Locations	where can I get tested in Houston?
Testing_Locations	Where can I get tested for cover-19
Testing_Locations	Can I test myself at my house?
Testing_Locations	Can I get tested at Walgreens?
Testing_Locations	Can I get tested at my doctor's?
Testing_Locations	How do I get tested?
Testing_Locations	Where can I get tested?
Testing_Locations	can you direct me to the nearest test center
Testing_Locations	testing spots for coronavirus?
Testing_Locations	testing locations?
Testing_Locations	How can I get tested for covid?
Testing_Locations	How can I get a coronavirus test?
Testing_Locations	I need to be checked for covid 19.
Testing_Locations	Who do I contact if I want to get tested for covid 19 infection?
Testing_Locations	I want a test for coronavirus
Testing_Locations	where I can get tested
Testing_Locations	where can I order a coronavirus test
10.2contacts_handover	transfer me
10.2contacts_handover	switch me to an operator
10.2contacts_handover	I want to talk to someone.
10.2contacts_handover	I want to talk to an agent
10.2contacts_handover	I want to talk to a person.
10.2contacts_handover	I want to switch to an operator.
10.2contacts_handover	I want to consult an expert.
10.2contacts_handover	I want to be transferred
10.2contacts_handover	Connect me to someone
Case_Count	how many people in texas have corona virus?
Case_Count	How many people are infected with Corona virus currently in texas?
Case_Count	how many people are infected
Case_Count	how many people have the virus?
Case_Count	How many people are infected in Illinois?
Case_Count	How many folks in Texas are infected?
Case_Count	How many coronavirus cases are there in my area?
Case_Count	How many cases of the virus are there in the world?
Case_Count	how many people ar sick in the US?
Case_Count	how many people have contracted the virus in pennysylvania
Case_Count	how many cases are there in Texas?
Case_Count	are people infected in my city ?
Case_Count	how many patients are infected with cornona virus in collin county
Case_Count	How many people have the virus in our county
Case_Count	how many current cases are there in Illinois
Case_Count	Which countries has covid-19 been detected in?
Case_Count	Where can I find information about covid 19 for the world?
Case_Count	How has coronavirus spread around the world?
Case_Count	How many people are sick throughout the world?
Case_Count	How many people total have coronavirus?
Case_Count	How many people have covid-19 in the whole world?
Case_Count	How many people in the world have died?
Case_Count	Are there any cases near me
Case_Count	Does MA have a confirmed COVID case?
Case_Count	how many ppl are infected in the us?
Case_Count	Does the US have a confirmed COVID case?
Case_Count	what is the count of coronavirus infected people?
Case_Count	covid number in my state?
Case_Count	has anyone died of coronavirus in my state?
Case_Count	is anyone near me sick
Case_Count	Where are cases?
Case_Count	How many cases of COVID-19 are in the US?
COVID_Comparing_Illness	how does cover-19 compare to the SARS epidemic?
COVID_Comparing_Illness	How do flu symptoms differ from coronavirus symptoms?
COVID_Comparing_Illness	Flu vs. COVID-19
COVID_Comparing_Illness	is this worse than flue
COVID_Comparing_Illness	Is this worse than the flu?
COVID_Comparing_Illness	is this worse than flu
COVID_Comparing_Illness	is this the same as the flu?
COVID_Comparing_Illness	Is the coronavirus the same as SARS?
COVID_Comparing_Illness	what's the difference between the flu and coronavirus
COVID_Comparing_Illness	What's the difference between flu and coronavirus?
COVID_Comparing_Illness	What's the difference between flu and coronavirus
COVID_Comparing_Illness	Flu vs Coronavirus
COVID_Comparing_Illness	flu vs covid19
COVID_Comparing_Illness	what is the difference between the flu and coronavirus
COVID_Comparing_Illness	what is the difference between flu and coronavirus
COVID_Comparing_Illness	What is the difference between COVID-19 and the flu
COVID_Comparing_Illness	What is different between flu and coronavirus
COVID_Comparing_Illness	SARS vs Corona virus?
COVID_Comparing_Illness	Is the coronavirus the same as MERS?
COVID_Comparing_Illness	Is the coronavirus the same as a cold?
COVID_Comparing_Illness	is covid the same as the flu?
COVID_Comparing_Illness	How's the flu different from coronavirus?
COVID_Comparing_Illness	how is the flue different from the coronavirus?
COVID_Comparing_Illness	How is flu different from corpnavirus
COVID_Comparing_Illness	How is corona virus different than SARS?
5.8.Quarantine_eligibility	which countries are quarantined
5.8.Quarantine_eligibility	will there be a mandated quarantine
5.8.Quarantine_eligibility	when do I know if I need to quarantine?
5.8.Quarantine_eligibility	when can I be ordered to quarantine?
5.8.Quarantine_eligibility	What should I do when I get back from another country?
5.8.Quarantine_eligibility	What should I do if I returned from another country?
5.8.Quarantine_eligibility	What countries are under a quarantine?
5.8.Quarantine_eligibility	Under what conditions do I have to quarantine?
5.8.Quarantine_eligibility	Under what circumstances do I have to quarantine?
5.8.Quarantine_eligibility	I was on vacation in another country.  Do I need to quarantine?
5.8.Quarantine_eligibility	I came back from a country do I have to quarantine?
5.8.Quarantine_eligibility	how do I self quarantine ?
5.8.Quarantine_eligibility	do I have to quarantine when I come back from out of the country?
5.8.Quarantine_eligibility	do i have to quarantine
5.8.Quarantine_eligibility	do I have to go into quarantine?
Symptoms	what is the first symptom
Symptoms	what are the covid symtoms
Symptoms	what are symtoms?
Symptoms	what are symptoms
Symptoms	how do I know if i have this thing
Symptoms	how do i know if i have this issue
Symptoms	how do i know if I got this thing
Symptoms	how do i know if i got this
Symptoms	I have headache and sore throat ..what should I do ?
Symptoms	If I only have a sore throat is it Coronavirus?
Symptoms	"I have sore throat, is it coronavirus?"
Symptoms	i have a sore throat
Symptoms	I have sore throat
Symptoms	Ihave sore throat
Symptoms	My child is coughing. Should I be worried?
Symptoms	my child has a high fever and is coughing. what should I do?
Symptoms	Will I throw up if I have the virus?
Symptoms	Will I poop a lot if I have the virus?
Symptoms	what are the most common symptoms of COVID?
Symptoms	what are the symptoms I should look out for
Symptoms	what are covid 19 symptoms
Symptoms	tell me about the symptoms
Symptoms	How do I know if I'm sick with covid-19?
Symptoms	how to distinguish it from a common cold.
Symptoms	how can one know if they have been infected?
Symptoms	I have an irritating cough
Symptoms	what are the symptoms of coronavirus
Symptoms	What to do if I think I have covid?
